True nu: 0.05
Initial nu_pinn guess: 0.060000
Starting Adam training...
Adam Epoch 0: Loss = 5.577631, Discovered nu = 0.060060
Adam Epoch 100: Loss = 0.729059, Discovered nu = 0.059983
Adam Epoch 200: Loss = 0.715549, Discovered nu = 0.059925
Adam Epoch 300: Loss = 0.710668, Discovered nu = 0.059898
Adam Epoch 400: Loss = 0.706566, Discovered nu = 0.059859
Adam Epoch 500: Loss = 0.701526, Discovered nu = 0.059804
Adam Epoch 600: Loss = 0.694210, Discovered nu = 0.059730
Adam Epoch 700: Loss = 0.682407, Discovered nu = 0.059630
Adam Epoch 800: Loss = 0.661795, Discovered nu = 0.059478
Adam Epoch 900: Loss = 0.623734, Discovered nu = 0.059179
Adam Epoch 1000: Loss = 0.553734, Discovered nu = 0.057889
Adam Epoch 1100: Loss = 0.447659, Discovered nu = 0.051491
Adam Epoch 1200: Loss = 0.346340, Discovered nu = 0.042093
Adam Epoch 1300: Loss = 0.261963, Discovered nu = 0.036213
Adam Epoch 1400: Loss = 0.195969, Discovered nu = 0.032338
Adam Epoch 1500: Loss = 0.150675, Discovered nu = 0.029914
Adam Epoch 1600: Loss = 0.121006, Discovered nu = 0.029147
Adam Epoch 1700: Loss = 0.099865, Discovered nu = 0.029141
Adam Epoch 1800: Loss = 0.083687, Discovered nu = 0.029140
Adam Epoch 1900: Loss = 0.071465, Discovered nu = 0.029040

Adam training finished.
Starting L-BFGS-B training with SciPy...
  L-BFGS-B: Loss = 4.173634e-02, Grad Norm = 1.330725e+00, nu_pinn_grad = -1.110113e-03
  L-BFGS-B: Loss = 4.162259e-02, Grad Norm = 4.780161e-01, nu_pinn_grad = -7.943410e-04
  L-BFGS-B: Loss = 4.150245e-02, Grad Norm = 2.886340e-01, nu_pinn_grad = -6.954087e-05
  L-BFGS-B: Loss = 4.123400e-02, Grad Norm = 4.575512e-01, nu_pinn_grad = 5.322940e-04
  L-BFGS-B: Loss = 4.090544e-02, Grad Norm = 7.504418e-01, nu_pinn_grad = 1.275215e-03
  L-BFGS-B: Loss = 4.071928e-02, Grad Norm = 8.441792e-01, nu_pinn_grad = 1.891287e-03
  L-BFGS-B: Loss = 4.055649e-02, Grad Norm = 4.073646e-01, nu_pinn_grad = 2.013797e-03
  L-BFGS-B: Loss = 4.041712e-02, Grad Norm = 3.250786e-01, nu_pinn_grad = 2.357611e-03
  L-BFGS-B: Loss = 4.031792e-02, Grad Norm = 8.933325e-01, nu_pinn_grad = 9.640972e-04
  L-BFGS-B: Loss = 4.021198e-02, Grad Norm = 8.418904e-01, nu_pinn_grad = 9.866533e-04
  L-BFGS-B: Loss = 4.012989e-02, Grad Norm = 6.881629e-01, nu_pinn_grad = 1.125777e-03
  L-BFGS-B: Loss = 4.003035e-02, Grad Norm = 5.020223e-01, nu_pinn_grad = 7.848428e-04
  L-BFGS-B: Loss = 3.991912e-02, Grad Norm = 4.447073e-01, nu_pinn_grad = 1.364899e-03
  L-BFGS-B: Loss = 3.985886e-02, Grad Norm = 5.578341e-01, nu_pinn_grad = 1.414332e-03
  L-BFGS-B: Loss = 3.981978e-02, Grad Norm = 6.373953e-01, nu_pinn_grad = 1.694321e-03
  L-BFGS-B: Loss = 3.977578e-02, Grad Norm = 4.032322e-01, nu_pinn_grad = 3.139600e-03
  L-BFGS-B: Loss = 3.970772e-02, Grad Norm = 5.312080e-01, nu_pinn_grad = 1.997561e-03
  L-BFGS-B: Loss = 3.962307e-02, Grad Norm = 2.724666e-01, nu_pinn_grad = 1.999054e-03
  L-BFGS-B: Loss = 3.948492e-02, Grad Norm = 5.286365e-01, nu_pinn_grad = 8.730109e-04
  L-BFGS-B: Loss = 3.933318e-02, Grad Norm = 7.672073e-01, nu_pinn_grad = 1.111661e-03
  L-BFGS-B: Loss = 3.885010e-02, Grad Norm = 6.354758e-01, nu_pinn_grad = 1.806584e-03
  L-BFGS-B: Loss = 3.857595e-02, Grad Norm = 1.004210e+00, nu_pinn_grad = 2.150926e-03
  L-BFGS-B: Loss = 3.833018e-02, Grad Norm = 6.144683e-01, nu_pinn_grad = 2.400972e-03
  L-BFGS-B: Loss = 3.813128e-02, Grad Norm = 5.974389e-01, nu_pinn_grad = 1.619411e-03
  L-BFGS-B: Loss = 3.793289e-02, Grad Norm = 8.098380e-01, nu_pinn_grad = 8.412335e-04
  L-BFGS-B: Loss = 3.780678e-02, Grad Norm = 7.420993e-01, nu_pinn_grad = 2.222600e-04
  L-BFGS-B: Loss = 3.762364e-02, Grad Norm = 6.945349e-01, nu_pinn_grad = -1.340160e-03
  L-BFGS-B: Loss = 3.739203e-02, Grad Norm = 9.665587e-01, nu_pinn_grad = -1.821757e-03
  L-BFGS-B: Loss = 3.727931e-02, Grad Norm = 8.788465e-01, nu_pinn_grad = -1.824984e-03
  L-BFGS-B: Loss = 3.714976e-02, Grad Norm = 5.670165e-01, nu_pinn_grad = -2.285793e-03
  L-BFGS-B: Loss = 3.710564e-02, Grad Norm = 7.331787e-01, nu_pinn_grad = -3.016971e-03
  L-BFGS-B: Loss = 3.705246e-02, Grad Norm = 4.282773e-01, nu_pinn_grad = -3.517735e-03
  L-BFGS-B: Loss = 3.701706e-02, Grad Norm = 1.050751e+00, nu_pinn_grad = -4.902327e-03
  L-BFGS-B: Loss = 3.698100e-02, Grad Norm = 1.099963e+00, nu_pinn_grad = -4.857504e-03
  L-BFGS-B: Loss = 3.677093e-02, Grad Norm = 6.540813e-01, nu_pinn_grad = -4.543231e-03
  L-BFGS-B: Loss = 3.660351e-02, Grad Norm = 5.205386e-01, nu_pinn_grad = -4.263973e-03
  L-BFGS-B: Loss = 3.637516e-02, Grad Norm = 7.694618e-01, nu_pinn_grad = -4.319768e-03
  L-BFGS-B: Loss = 3.621449e-02, Grad Norm = 8.081048e-01, nu_pinn_grad = -4.446642e-03
